ssn	fecal_sampleID	cecal_sampleID	fecal_samplename	cecal_samplename	n_fecal_files	n_cecal_files	fecal_source_file	cecal_source_file	fecal_fastq	cecal_fastq	fecal_sample	cecal_sample	fecal_bacterial_archaeal_bases	cecal_bacterial_archaeal_bases	fecal_metagenome_size	cecal_metagenome_size	fecal_read_fraction	cecal_read_fraction	fecal_average_bacterial_archaeal_genome_size	cecal_average_bacterial_archaeal_genome_size	fecal_domain_relative_abundance	cecal_domain_relative_abundance	fecal_phylum_relative_abundance	cecal_phylum_relative_abundance	fecal_class_relative_abundance	cecal_class_relative_abundance	fecal_order_relative_abundance	cecal_order_relative_abundance	fecal_family_relative_abundance	cecal_family_relative_abundance	fecal_genus_relative_abundance	cecal_genus_relative_abundance	fecal_species_relative_abundance	cecal_species_relative_abundance	fecal_warning	cecal_warning	delta_read_fraction_fecal_minus_cecal
MAD051	MAD051F	MAD051C	MAD051F	MAD051C	1	1	MAD051F_CKDL250010768-1A_22TG33LT4_L2.microbial.fraction.tsv	MAD051C_CKDL250010768-1A_22TG33LT4_L2.microbial.fraction.tsv	MAD051F_clean.fq.gz	MAD051C_clean.fq.gz	MAD051F_CKDL250010768-1A_22TG33LT4_L2_1	MAD051C_CKDL250010768-1A_22TG33LT4_L2_1	21563032818	15503395064	21450222300	15539826300	100.0000	99.7700	3393567	3861272	0.5800	0.4800	0.1400	0.1800	0.2300	0.2500	0.2300	0.2600	0.6500	1.3000	2.0200	2.6400	96.1500	94.8900			0.2300
MAD052	MAD052F	MAD052C	MAD052F	MAD052C	1	1	MAD052F_CKDL250010768-1A_22TG33LT4_L2.microbial.fraction.tsv	MAD052C_CKDL250010768-1A_22TG33LT4_L2.microbial.fraction.tsv	MAD052F_clean.fq.gz	MAD052C_clean.fq.gz	MAD052F_CKDL250010768-1A_22TG33LT4_L2_1	MAD052C_CKDL250010768-1A_22TG33LT4_L2_1	11270843813	34348562338	11687968500	34256016300	96.4300	100.0000	3532637	3658134	0.5000	0.3500	0.0800	0.0800	0.4600	0.1400	0.4400	0.2200	2.0600	1.2800	5.4000	2.8200	91.0600	95.1200			-3.5700
MAD053	MAD053F	MAD053C	MAD053F	MAD053C	1	1	MAD053F_CKDL250010768-1A_22TG33LT4_L2.microbial.fraction.tsv	MAD053C_CKDL250010768-1A_22TG33LT4_L2.microbial.fraction.tsv	MAD053F_clean.fq.gz	MAD053C_clean.fq.gz	MAD053F_CKDL250010768-1A_22TG33LT4_L2_1	MAD053C_CKDL250010768-1A_22TG33LT4_L2_1	12688920155	13083534083	13163948400	14625559200	96.3900	89.4600	2784221	3761149	0.8700	0.7200	0.1700	0.0700	0.2400	0.3400	0.2900	0.3000	2.0900	1.4300	4.7500	4.9000	91.5800	92.2500			6.9300
MAD054	MAD054F	MAD054C	MAD054F	MAD054C	1	1	MAD054F_CKDL250010768-1A_22TG33LT4_L2.microbial.fraction.tsv	MAD054C_CKDL250010768-1A_22TG33LT4_L2.microbial.fraction.tsv	MAD054F_clean.fq.gz	MAD054C_clean.fq.gz	MAD054F_CKDL250010768-1A_22TG33LT4_L2_1	MAD054C_CKDL250010768-1A_22TG33LT4_L2_1	15463571976	17140741550	16110823200	15663002400	95.9800	100.0000	3566445	3534195	0.4300	0.4200	0.0700	0.2000	0.2300	0.2700	0.3600	0.1700	0.9600	0.9900	2.6200	3.0400	95.3300	94.9000			-4.0200
MAD055	MAD055F	MAD055C	MAD055F	MAD055C	1	1	MAD055F_CKDL250010768-1A_22TG33LT4_L2.microbial.fraction.tsv	MAD055C_CKDL250010768-1A_22TG33LT4_L2.microbial.fraction.tsv	MAD055F_clean.fq.gz	MAD055C_clean.fq.gz	MAD055F_CKDL250010768-1A_22TG33LT4_L2_1	MAD055C_CKDL250010768-1A_22TG33LT4_L2_1	18827349964	11602663745	19624269900	16355460900	95.9400	70.9400	3352890	3746699	0.3000	0.5200	0.0300	0.0700	0.1800	0.5300	0.1900	0.3100	1.3800	1.8600	2.3700	3.0600	95.5500	93.6700			25.0000
MAD056	MAD056F	MAD056C	MAD056F	MAD056C	1	1	MAD056F_CKDL250010768-1A_22TG33LT4_L2.microbial.fraction.tsv	MAD056C_CKDL250010768-1A_22TG33LT4_L2.microbial.fraction.tsv	MAD056F_clean.fq.gz	MAD056C_clean.fq.gz	MAD056F_CKDL250010768-1A_22TG33LT4_L2_1	MAD056C_CKDL250010768-1A_22TG33LT4_L2_1	15683177715	8930023113	15994460100	9043047600	98.0500	98.7500	3501288	3768054	0.8400	0.7000	0.1400	0.2000	0.3800	0.4300	0.5000	0.6100	1.8100	2.7300	6.3200	3.1600	90.0000	92.1700			-0.7000
MAD057	MAD057F	MAD057C	MAD057F	MAD057C	1	1	MAD057F_CKDL250010768-1A_22TG33LT4_L2.microbial.fraction.tsv	MAD057C_CKDL250010768-1A_22TG33LT4_L2.microbial.fraction.tsv	MAD057F_clean.fq.gz	MAD057C_clean.fq.gz	MAD057F_CKDL250010768-1A_22TG33LT4_L2_1	MAD057C_CKDL250010768-1A_22TG33LT4_L2_1	15933346448	14437642705	17368762200	14441148900	91.7400	99.9800	3668286	3952162	0.0800	0.5700	0.1600	0.1000	0.4400	0.4200	0.2600	0.2200	1.2400	1.1100	2.2000	3.3300	95.6300	94.2500			-8.2400
MAD058	MAD058F	MAD058C	MAD058F	MAD058C	1	1	MAD058F_CKDL250010768-1A_22TG33LT4_L2.microbial.fraction.tsv	MAD058C_CKDL250010768-1A_22TG33LT4_L2.microbial.fraction.tsv	MAD058F_clean.fq.gz	MAD058C_clean.fq.gz	MAD058F_CKDL250010768-1A_22TG33LT4_L2_1	MAD058C_CKDL250010768-1A_22TG33LT4_L2_1	9480069632	14377696460	9567966000	13936394700	99.0800	100.0000	3799947	3689058	0.6200	0.4200	0.0500	0.0600	0.3200	0.2300	0.4000	0.1900	1.5900	0.9100	4.7600	2.9200	92.2600	95.2700			-0.9200
MAD059	MAD059F	MAD059C	MAD059F	MAD059C	1	1	MAD059F_CKDL250010768-1A_22TG33LT4_L2.microbial.fraction.tsv	MAD059C.microbial.fraction.tsv	MAD059F_clean.fq.gz	MAD059C_clean.fq.gz	MAD059F_CKDL250010768-1A_22TG33LT4_L2_1	MAD059C_1	12645832586	9816207024	13617072600	9774504051	92.8700	100.0000	3523164	3635794	0.0000	0.7900	0.0500	0.0100	0.2200	0.1600	0.2400	0.1500	0.9200	0.9400	1.2300	1.2500	97.3500	96.7100			-7.1300
MAD060	MAD060F	MAD060C	MAD060F	MAD060C	1	1	MAD060F_CKDL250010768-1A_22TG33LT4_L2.microbial.fraction.tsv	MAD060C_CKDL250010768-1A_22TG33LT4_L2.microbial.fraction.tsv	MAD060F_clean.fq.gz	MAD060C_clean.fq.gz	MAD060F_CKDL250010768-1A_22TG33LT4_L2_1	MAD060C_CKDL250010768-1A_22TG33LT4_L2_1	11251405135	13402127652	11376403500	13372120800	98.9000	100.0000	3314569	3505703	0.4900	0.9100	0.1600	0.2200	0.2100	0.2500	0.5800	0.5400	1.4200	1.0200	4.5900	3.8200	92.5500	93.2400			-1.1000
